ur,ul,omegaR_measured,omegaL_measured
0.3721888974346784,-0.11854810278851993,11.271021448473663,-5.9727698700431695
0.3442935804419205,-0.09320507506506644,13.61501775416914,-5.026361284677122
0.3147542709212414,-0.06624165514348637,12.774342597033193,-3.8584108667729984
0.2837120182760887,-0.03812660843430324,10.219045019843007,-3.2245913312759287
0.25131504842264946,-0.009348721651177384,7.715577305996207,-0.06904853466787068
0.21771805601511376,0.019591694861315997,2.9824767336180478,-1.150912072411871
0.18308146578288764,0.04819150514094953,0.1519980929322991,0.010562499320377523
0.14757066650685208,0.07595349474513327,0.017167292886900328,0.041891850963094876
0.1113552212924108,0.10239501494119145,0.1307942550433933,0.20862049156138487
0.07460805791025137,0.12705637366833933,1.1125169096814531,1.3609484914150134
0.03750464307092093,0.1495088273925064,1.0386141731905025,2.9099589104404324
0.00022214457603132154,0.16936203491373114,0.1443801875600421,4.7834564618854465
-0.03706141465319577,0.18627084353992307,0.2690352065256303,6.088186063466021
-0.07416800663056257,0.19994128964776717,-0.05094724022126646,6.302205957743217
-0.11092044838370815,0.21013570930960068,-0.9029032822904406,7.6324612471373605
-0.14714324799800682,0.21667687013681244,-2.642009151245927,7.099656132454121
-0.18266344258571116,0.219451052506692,-4.880354972852005,7.937937568789662
-0.21731142417905833,0.21841002660487358,-6.133504194276969,7.174324250308792
-0.2509217496037265,0.21357189091202652,-8.616124947677953,6.6964771224686945
-0.2833339304655129,0.2050207575575035,-10.485440222443708,7.091516629828112
-0.3143931994780756,0.19290529001014556,-8.99366465325225,6.216535685241129
-0.3439512494725326,0.17743611852883837,-9.030618016453827,5.056199748802576
-0.37186694156018185,0.15888217830581564,-11.121015998957876,5.48324472444809
-0.3980069790668744,0.1375660339649555,-13.077858267013548,4.879633444881761
-0.4222465440210247,0.11385827169976678,-15.438004498531315,4.297711390829619
-0.4444698931560479,0.08817105654506895,-16.53044781591651,2.86317756065021
-0.4645709105813238,0.060950966790715946,-15.440630044946891,1.5358710272373195
-0.48245361448270324,0.0326712301127701,-12.235435877306388,1.1182428532863307
-0.4980326154330721,0.003823496398815956,-5.528376671015314,-1.3710602630953614
-0.5112335241245558,-0.025090709701217125,-0.31866194747847787,-0.2986648498267252
-0.5219933065754497,-0.053568707899299337,0.08327539211192539,0.038974958578619025
-0.5302605851157762,-0.08111540148458937,-0.023047672441644608,-0.014250800224629528
-0.5359958837142683,-0.10725188469644432,-0.1094847794161079,-0.2161680135364662
-0.5391718164753505,-0.13152376861394632,-0.4521379938882352,-0.9726391518623978
-0.5397732184060489,-0.15350908081438847,-1.2243977821644974,-1.9349483755126997
-0.5377972178284218,-0.1728256014633025,-2.327933232350632,-2.9986965448972946
-0.5332532500917448,-0.18913750829636863,-2.6070627581746137,-3.6111385161374328
-0.5261630125189731,-0.2021612149686329,-3.320342953483101,-4.326216319565578
-0.5165603608026115,-0.2116703012699544,-4.281529015831756,-5.179996924713951
-0.504491147344699,-0.2174994494937253,-5.515402491922453,-5.082308042358694
-0.4900130023128305,-0.21954731852416487,-2.9789652946950085,-4.071177396215049
-0.473195058457666,-0.2177783056755032,-1.2604683108424584,-1.4905157356795238
-0.4541176210059177,-0.21222316565306446,0.03855543715282607,0.11077791865168862
-0.43287178420506545,-0.20297847587546655,-0.476809399977577,-0.458810361104204
-0.409558996350791,-0.19020495745343494,-0.021761120192972435,-0.09436150306581187
-0.3842905753741125,-0.17412468101541193,0.008223140424813846,0.06675123296460847
-0.3571871773012748,-0.15501720595733878,-0.13383661683456302,-0.16086637080232963
-0.3283782201244924,-0.13321472023666733,-1.7138980103354868,-1.8347149852451634
-0.2980012658345375,-0.10909626520642349,-2.93421211464849,-2.3770313837918575
-0.2662013635659598,-0.08308114589194644,-3.7557787497916664,-2.266883748428373
-0.23313035699139065,-0.05562164127419312,-5.100948449309838,-2.104826074228459
-0.19894615927212048,-0.027195141313055667,-2.2966834407918943,-0.98647968607464
-0.16381199902702534,0.0017041525896118758,-0.07040320749542789,-0.03237833539270136
-0.12789564092033046,0.030573819397846026,0.053338127777992635,0.02935059618465908
-0.09136858458987897,0.058911953149703045,-0.10868029285066243,0.011453544882337248
-0.05440524574100336,0.08622588871070483,-0.015516948690304745,0.21232883031791297
-0.017182123316253517,0.11204076687332101,-0.07832973529270083,0.7233759563158167
0.020123043282279082,0.1359077898962162,-0.14948404854756642,2.267696083792691
0.05733212289379042,0.15741202395875975,0.412711172265087,3.629968883414816
0.09426744317024266,0.17617961288330014,-0.21518460693412253,4.141100228129555
0.1307526389570094,0.19188427771292685,2.9804204491423865,5.631475995669862
0.16661349443172274,0.2042529891480404,4.539201652672328,6.4880185513808115
0.2016787749801049,0.21307071422507845,5.767623233408336,7.25525520739511
0.23578104483661688,0.21818415471526828,7.926099633385247,8.35129222086375
0.2687574665857107,0.21950441225046763,9.039272024788152,8.360963237976438
0.30045057870607883,0.21700853384224675,11.163916776336785,8.993001960654068
0.3307090474451547,0.21073991092500274,12.488451066141788,9.123609425069798
0.3593883894336888,0.20080752498564478,14.660967162484024,8.83112644452839
0.38635166158992407,0.18738405289475876,14.69694789667769,8.597332820608093
0.4114701150191053,0.1707028648785112,11.066033881810249,7.138012205700705
0.43462380978596804,0.15105396732226412,9.515327031681228,6.086869680154019
0.45570218762467984,0.12877896094121144,11.99665275130998,4.880180556395814
0.47460459985157166,0.1042651019714313,15.108730513965305,4.582334780562611
0.49124078795987425,0.0779385696289471,18.81680375397523,2.8968080822489393
0.308647397896424,0.45715081013209086,18.694764848904395,2.566910360927115
